OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
49-3093,Tire Repairers and Changers,93180,28260.0,29580.0,36490.0,-1.550724
49-9011,Mechanical Door Repairers,23300,36820.0,45060.0,51440.0,-1.383152
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",44870,47840.0,62760.0,80680.0,-0.7606913
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",356960,38450.0,48630.0,62000.0,-0.8491117
49-9031,Home Appliance Repairers,28120,34920.0,44320.0,53890.0,-0.9703799
49-9041,Industrial Machinery Mechanics,373090,47260.0,59840.0,67460.0,-1.133177
49-9043,"Maintenance Workers, Machinery",57660,40540.0,48900.0,61250.0,-0.9735492
49-9044,Millwrights,39240,47540.0,60330.0,76110.0,-1.266085
49-9045,"Refractory Materials Repairers, Except Brickmasons",660,46980.0,54250.0,62760.0,-1.237463
49-9051,Electrical Power-Line Installers and Repairers,123940,60480.0,78310.0,99000.0,-1.081398
49-9052,Telecommunications Line Installers and Repairers,101530,43570.0,60190.0,78960.0,-1.083883
49-9061,Camera and Photographic Equipment Repairers,2340,32760.0,38200.0,48510.0,0.0546422
49-9062,Medical Equipment Repairers,53400,38250.0,49910.0,69920.0,-0.2768838
49-9063,Musical Instrument Repairers and Tuners,5710,29220.0,37160.0,46700.0,-0.5306271
49-9064,Watch and Clock Repairers,1970,29300.0,44250.0,55530.0,-0.2123996
